127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.002850
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/codemirror/emmet.min.js, HTTP/1.1, 200, 0.000873
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/js/typeahead.min.js, HTTP/1.1, 200, 0.003112
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/js/ajax_editor.js, HTTP/1.1, 200, 0.002443
127.0.0.1, 2015-07-05 19:16:06, GET, /admin/static/_2.11.2/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.000940
127.0.0.1, 2015-07-05 19:16:07, GET, /admin/static/_2.11.2/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2015-07-05 19:16:07, GET, /admin/static/_2.11.2/images/files_toggle.png, HTTP/1.1, 200, 0.001335
127.0.0.1, 2015-07-05 19:16:07, GET, /favicon.ico, HTTP/1.1, 400, 0.000590
127.0.0.1, 2015-07-05 19:16:07, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.128566
127.0.0.1, 2015-07-05 19:16:07, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.167946
127.0.0.1, 2015-07-05 19:16:07, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.244516
127.0.0.1, 2015-07-05 19:16:08, GET, /admin/static/_2.11.2/images/save_icon.png, HTTP/1.1, 200, 0.000926
127.0.0.1, 2015-07-05 19:16:08, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.693215
127.0.0.1, 2015-07-05 19:16:08, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.969702
127.0.0.1, 2015-07-05 19:16:08, GET, /app1/appadmin/hooks, HTTP/1.1, 200, 1.270118
127.0.0.1, 2015-07-05 19:16:30, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.239946
127.0.0.1, 2015-07-05 19:16:31, GET, /favicon.ico, HTTP/1.1, 400, 0.000540
127.0.0.1, 2015-07-05 19:25:37, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.094807
127.0.0.1, 2015-07-05 19:25:38, GET, /admin/default/edit/app1/models/db.py, HTTP/1.1, 200, 0.100468
127.0.0.1, 2015-07-05 19:25:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.232368
127.0.0.1, 2015-07-05 19:25:38, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.076967
127.0.0.1, 2015-07-05 19:25:38, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.391377
127.0.0.1, 2015-07-05 19:25:38, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.537949
127.0.0.1, 2015-07-05 19:25:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000545
